spec,panel,variable,coef,se,pvalue,n
N1 (Nonprofit × Post),unbalanced,const,-1.88414,0.78006,0.01572,601
N1 (Nonprofit × Post),unbalanced,nonprofit_led,0.11194,0.18675,0.5489,601
N1 (Nonprofit × Post),unbalanced,post,0.60688,0.19121,0.0015,601
N1 (Nonprofit × Post),unbalanced,did_np,-0.05465,0.25183,0.8282,601
N1 (Nonprofit × Post),unbalanced,hf_pct,-0.60402,0.4084,0.13914,601
N1 (Nonprofit × Post),unbalanced,hmis_cov,0.6084,0.41457,0.14223,601
N1 (Nonprofit × Post),unbalanced,log_beds,0.01655,0.29889,0.95583,601
N1 (Nonprofit × Post),unbalanced,ple_ces_bin,-0.22487,0.32614,0.49053,601
N1 (Nonprofit × Post),unbalanced,hf_pct_bar,1.37791,0.58146,0.0178,601
N1 (Nonprofit × Post),unbalanced,hmis_cov_bar,0.01059,0.57683,0.98536,601
N1 (Nonprofit × Post),unbalanced,log_beds_bar,0.18411,0.30781,0.54976,601
N1 (Nonprofit × Post),unbalanced,ple_ces_bin_bar,0.29046,0.40953,0.47817,601
N1 (Nonprofit × Post),balanced,const,-2.58393,0.88754,0.0036,346
N1 (Nonprofit × Post),balanced,nonprofit_led,0.22538,0.2312,0.32966,346
N1 (Nonprofit × Post),balanced,post,0.50728,0.24571,0.03897,346
N1 (Nonprofit × Post),balanced,did_np,0.27843,0.35105,0.42769,346
N1 (Nonprofit × Post),balanced,hf_pct,-0.36579,0.41162,0.37419,346
N1 (Nonprofit × Post),balanced,hmis_cov,0.54115,0.41316,0.19027,346
N1 (Nonprofit × Post),balanced,log_beds,0.08432,0.44575,0.84996,346
N1 (Nonprofit × Post),balanced,ple_ces_bin,0.10632,0.33199,0.74879,346
N1 (Nonprofit × Post),balanced,hf_pct_bar,1.55016,0.73869,0.03586,346
N1 (Nonprofit × Post),balanced,hmis_cov_bar,0.28487,0.67844,0.67457,346
N1 (Nonprofit × Post),balanced,log_beds_bar,0.12145,0.45572,0.78986,346
N1 (Nonprofit × Post),balanced,ple_ces_bin_bar,-0.13118,0.48314,0.786,346
B1 (Blue-state × Post),unbalanced,const,-1.67356,0.7682,0.02937,595
B1 (Blue-state × Post),unbalanced,blue_state,-0.31197,0.2074,0.13253,595
B1 (Blue-state × Post),unbalanced,post,0.21008,0.20339,0.30166,595
B1 (Blue-state × Post),unbalanced,did_blue,0.54811,0.26169,0.03621,595
B1 (Blue-state × Post),unbalanced,hf_pct,-0.49247,0.40722,0.22653,595
B1 (Blue-state × Post),unbalanced,hmis_cov,0.60176,0.40589,0.13819,595
B1 (Blue-state × Post),unbalanced,log_beds,-0.11772,0.28594,0.68055,595
B1 (Blue-state × Post),unbalanced,ple_ces_bin,-0.19104,0.34402,0.57868,595
B1 (Blue-state × Post),unbalanced,hf_pct_bar,1.42735,0.58629,0.01491,595
B1 (Blue-state × Post),unbalanced,hmis_cov_bar,0.03773,0.57631,0.9478,595
B1 (Blue-state × Post),unbalanced,log_beds_bar,0.30207,0.29376,0.30381,595
B1 (Blue-state × Post),unbalanced,ple_ces_bin_bar,0.25634,0.42676,0.54807,595
B1 (Blue-state × Post),balanced,const,-2.21674,0.92697,0.01679,341
B1 (Blue-state × Post),balanced,blue_state,-0.34129,0.25231,0.17616,341
B1 (Blue-state × Post),balanced,post,0.52509,0.25605,0.04029,341
B1 (Blue-state × Post),balanced,did_blue,0.12936,0.3385,0.70235,341
B1 (Blue-state × Post),balanced,hf_pct,-0.38439,0.40873,0.34699,341
B1 (Blue-state × Post),balanced,hmis_cov,0.57945,0.39475,0.14213,341
B1 (Blue-state × Post),balanced,log_beds,-0.04302,0.43515,0.92124,341
B1 (Blue-state × Post),balanced,ple_ces_bin,0.10255,0.35314,0.77151,341
B1 (Blue-state × Post),balanced,hf_pct_bar,1.83066,0.75789,0.01571,341
B1 (Blue-state × Post),balanced,hmis_cov_bar,0.30782,0.6909,0.65594,341
B1 (Blue-state × Post),balanced,log_beds_bar,0.2012,0.4464,0.6522,341
B1 (Blue-state × Post),balanced,ple_ces_bin_bar,-0.09425,0.50559,0.85212,341
J2 (Joint NP + Biden × Post),unbalanced,const,-1.73206,0.80543,0.03152,594
J2 (Joint NP + Biden × Post),unbalanced,nonprofit_led,0.09256,0.20341,0.64908,594
J2 (Joint NP + Biden × Post),unbalanced,biden_c,-0.13687,0.85368,0.87262,594
J2 (Joint NP + Biden × Post),unbalanced,post,0.49249,0.20263,0.01508,594
J2 (Joint NP + Biden × Post),unbalanced,did_np,0.0955,0.27572,0.72906,594
J2 (Joint NP + Biden × Post),unbalanced,did_biden,1.95116,1.03239,0.05877,594
J2 (Joint NP + Biden × Post),unbalanced,hf_pct,-0.57636,0.39758,0.14715,594
J2 (Joint NP + Biden × Post),unbalanced,hmis_cov,0.61331,0.42396,0.148,594
J2 (Joint NP + Biden × Post),unbalanced,log_beds,-0.08551,0.3032,0.77792,594
J2 (Joint NP + Biden × Post),unbalanced,ple_ces_bin,-0.23968,0.33502,0.47434,594
J2 (Joint NP + Biden × Post),unbalanced,hf_pct_bar,1.41274,0.59355,0.01731,594
J2 (Joint NP + Biden × Post),unbalanced,hmis_cov_bar,-0.04686,0.59299,0.93701,594
J2 (Joint NP + Biden × Post),unbalanced,log_beds_bar,0.26209,0.31223,0.40123,594
J2 (Joint NP + Biden × Post),unbalanced,ple_ces_bin_bar,0.32746,0.41886,0.43433,594
J2 (Joint NP + Biden × Post),balanced,const,-2.48869,0.88497,0.00492,341
J2 (Joint NP + Biden × Post),balanced,nonprofit_led,0.18098,0.24747,0.46458,341
J2 (Joint NP + Biden × Post),balanced,biden_c,-0.66287,1.03517,0.52195,341
J2 (Joint NP + Biden × Post),balanced,post,0.27173,0.25756,0.29143,341
J2 (Joint NP + Biden × Post),balanced,did_np,0.56387,0.39759,0.15612,341
J2 (Joint NP + Biden × Post),balanced,did_biden,3.19978,1.37016,0.01953,341
J2 (Joint NP + Biden × Post),balanced,hf_pct,-0.32241,0.40705,0.42832,341
J2 (Joint NP + Biden × Post),balanced,hmis_cov,0.49403,0.41012,0.22836,341
J2 (Joint NP + Biden × Post),balanced,log_beds,-0.05631,0.4285,0.89544,341
J2 (Joint NP + Biden × Post),balanced,ple_ces_bin,0.12591,0.32649,0.69976,341
J2 (Joint NP + Biden × Post),balanced,hf_pct_bar,1.48596,0.75701,0.04965,341
J2 (Joint NP + Biden × Post),balanced,hmis_cov_bar,0.31088,0.67708,0.64613,341
J2 (Joint NP + Biden × Post),balanced,log_beds_bar,0.25679,0.43758,0.55731,341
J2 (Joint NP + Biden × Post),balanced,ple_ces_bin_bar,-0.12004,0.48612,0.80495,341
