coc_id,year,extractor,n_records,needs_review,reason
AK-500,2024,pdf_native,270,258,native PDF available
AK-501,2024,pdf_native,292,1,native PDF available
AL-500,2024,pdf_native,295,2,native PDF available
AL-502,2024,pdf_native,293,2,native PDF available
AL-504,2024,pdf_native,294,2,native PDF available
AL-506,2024,pdf_native,287,3,native PDF available
AR-500,2024,pdf_native,270,270,native PDF available
AR-501,2024,pdf_native,291,4,native PDF available
AZ-500,2024,pdf_native,295,1,native PDF available
AZ-502,2024,pdf_native,292,2,native PDF available
CA-500,2024,pdf_native,291,1,native PDF available
CA-501,2024,pdf_native,288,3,native PDF available
CA-502,2024,pdf_native,292,0,native PDF available
CA-503,2024,pdf_native,291,2,native PDF available
CA-504,2024,pdf_native,291,1,native PDF available
CA-505,2024,pdf_native,294,4,native PDF available
CA-506,2024,pdf_native,294,1,native PDF available
CA-507,2024,pdf_native,290,0,native PDF available
CA-508,2024,pdf_native,291,0,native PDF available
CA-509,2024,pdf_native,289,3,native PDF available
CA-510,2024,pdf_native,291,0,native PDF available
CA-511,2024,pdf_native,290,3,native PDF available
CA-512,2024,pdf_native,289,3,native PDF available
CA-513,2024,pdf_native,294,3,native PDF available
CA-515,2024,pdf_native,295,3,native PDF available
CA-516,2024,pdf_native,294,3,native PDF available
CA-517,2024,pdf_native,290,3,native PDF available
CA-519,2024,pdf_native,287,3,native PDF available
CA-520,2024,pdf_native,286,3,native PDF available
CA-521,2024,docx,156,156,scanned PDF → fall back to DOCX
CA-522,2024,pdf_native,294,3,native PDF available
CA-523,2024,pdf_native,294,2,native PDF available
CA-524,2024,pdf_native,290,28,native PDF available
CA-526,2024,pdf_native,290,4,native PDF available
CA-527,2024,pdf_native,287,1,native PDF available
CA-529,2024,pdf_native,287,2,native PDF available
CA-530,2024,pdf_native,290,3,native PDF available
CA-531,2024,pdf_native,291,3,native PDF available
CA-600,2024,pdf_native,292,0,native PDF available
CA-601,2024,pdf_native,288,2,native PDF available
CA-602,2024,pdf_native,291,1,native PDF available
CA-603,2024,pdf_native,291,1,native PDF available
CA-604,2024,pdf_native,291,3,native PDF available
CA-607,2024,pdf_native,291,0,native PDF available
CA-608,2024,pdf_native,291,2,native PDF available
CA-612,2024,pdf_native,289,4,native PDF available
CA-613,2024,pdf_native,294,2,native PDF available
CA-614,2024,pdf_native,282,1,native PDF available
CO-500,2024,pdf_native,295,0,native PDF available
CO-503,2024,pdf_native,292,1,native PDF available
CO-504,2024,pdf_native,293,1,native PDF available
CO-505,2024,pdf_native,295,4,native PDF available
CT-503,2024,pdf_native,295,0,native PDF available
CT-505,2024,pdf_native,288,1,native PDF available
DC-500,2024,pdf_native,288,1,native PDF available
DE-500,2024,pdf_native,291,0,native PDF available
FL-500,2024,pdf_native,287,2,native PDF available
FL-501,2024,pdf_native,293,1,native PDF available
FL-502,2024,pdf_native,294,1,native PDF available
FL-504,2024,pdf_native,294,1,native PDF available
FL-505,2024,pdf_native,293,1,native PDF available
FL-507,2024,pdf_native,291,3,native PDF available
FL-508,2024,pdf_native,294,3,native PDF available
FL-509,2024,pdf_native,295,1,native PDF available
FL-510,2024,pdf_native,290,0,native PDF available
FL-511,2024,pdf_native,295,1,native PDF available
FL-512,2024,pdf_native,294,1,native PDF available
FL-513,2024,pdf_native,291,1,native PDF available
FL-514,2024,pdf_native,291,2,native PDF available
FL-517,2024,pdf_native,299,1,native PDF available
FL-518,2024,pdf_native,291,0,native PDF available
FL-520,2024,pdf_native,294,7,native PDF available
FL-602,2024,pdf_native,295,2,native PDF available
FL-603,2024,pdf_native,294,4,native PDF available
FL-604,2024,pdf_native,297,3,native PDF available
FL-606,2024,pdf_native,288,1,native PDF available
GA-500,2024,pdf_native,287,4,native PDF available
GA-501,2024,pdf_native,288,0,native PDF available
GA-502,2024,pdf_native,287,4,native PDF available
GA-503,2024,pdf_native,291,4,native PDF available
GA-504,2024,pdf_native,278,49,native PDF available
GA-505,2024,pdf_native,288,1,native PDF available
GA-506,2024,pdf_native,287,1,native PDF available
GA-507,2024,pdf_native,294,1,native PDF available
GA-508,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
GU-500,2024,pdf_native,295,4,native PDF available
HI-501,2024,pdf_native,295,1,native PDF available
IA-500,2024,pdf_native,293,2,native PDF available
IA-502,2024,pdf_native,290,3,native PDF available
ID-500,2024,pdf_native,294,68,native PDF available
IL-501,2024,pdf_native,287,2,native PDF available
IL-503,2024,pdf_native,290,2,native PDF available
IL-506,2024,pdf_native,295,12,native PDF available
IL-507,2024,pdf_native,293,26,native PDF available
IL-508,2024,pdf_native,291,1,native PDF available
IL-510,2024,pdf_native,290,0,native PDF available
IL-511,2024,pdf_native,295,0,native PDF available
IL-512,2024,pdf_native,295,3,native PDF available
IL-513,2024,pdf_native,286,2,native PDF available
IL-514,2024,pdf_native,287,1,native PDF available
IL-515,2024,pdf_native,291,1,native PDF available
IL-516,2024,pdf_native,289,3,native PDF available
IL-517,2024,pdf_native,295,1,native PDF available
IL-519,2024,pdf_native,294,2,native PDF available
IN-502,2024,pdf_native,295,2,native PDF available
KS-503,2024,pdf_native,291,3,native PDF available
KY-500,2024,pdf_native,288,18,native PDF available
KY-501,2024,pdf_native,290,2,native PDF available
KY-502,2024,pdf_native,291,1,native PDF available
LA-502,2024,pdf_native,293,5,native PDF available
LA-503,2024,pdf_native,288,0,native PDF available
LA-506,2024,pdf_native,292,1,native PDF available
LA-507,2024,pdf_native,283,13,native PDF available
LA-509,2024,pdf_native,295,2,native PDF available
MA-500,2024,pdf_native,295,3,native PDF available
MA-502,2024,pdf_native,287,3,native PDF available
MA-503,2024,pdf_native,291,3,native PDF available
MA-504,2024,pdf_native,291,5,native PDF available
MA-505,2024,pdf_native,293,0,native PDF available
MA-506,2024,pdf_native,294,4,native PDF available
MA-507,2024,pdf_native,295,2,native PDF available
MA-509,2024,pdf_native,295,1,native PDF available
MA-511,2024,pdf_native,294,0,native PDF available
MA-515,2024,pdf_native,294,1,native PDF available
MA-516,2024,pdf_native,295,5,native PDF available
MD-501,2024,pdf_native,287,2,native PDF available
MD-503,2024,pdf_native,288,25,native PDF available
MD-505,2024,pdf_native,283,4,native PDF available
MD-506,2024,pdf_native,294,3,native PDF available
MD-511,2024,pdf_native,289,3,native PDF available
MD-513,2024,pdf_native,291,5,native PDF available
MD-600,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
MD-601,2024,pdf_native,295,3,native PDF available
MI-500,2024,pdf_native,294,29,native PDF available
MI-501,2024,pdf_native,292,0,native PDF available
MI-502,2024,pdf_native,293,3,native PDF available
MI-503,2024,pdf_native,291,2,native PDF available
MI-504,2024,pdf_native,295,18,native PDF available
MI-505,2024,pdf_native,294,1,native PDF available
MI-506,2024,pdf_native,294,1,native PDF available
MI-508,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
MI-510,2024,pdf_native,291,4,native PDF available
MI-512,2024,pdf_native,285,5,native PDF available
MI-514,2024,pdf_native,286,3,native PDF available
MI-516,2024,pdf_native,295,4,native PDF available
MI-519,2024,pdf_native,294,3,native PDF available
MI-523,2024,pdf_native,291,1,native PDF available
MN-501,2024,pdf_native,295,3,native PDF available
MN-503,2024,pdf_native,287,7,native PDF available
MN-504,2024,pdf_native,295,0,native PDF available
MN-506,2024,pdf_native,294,3,native PDF available
MN-509,2024,pdf_native,294,2,native PDF available
MO-503,2024,pdf_native,295,3,native PDF available
MO-600,2024,pdf_native,294,1,native PDF available
MO-602,2024,pdf_native,295,4,native PDF available
MO-603,2024,pdf_native,291,1,native PDF available
MO-606,2024,pdf_native,295,3,native PDF available
MS-501,2024,pdf_native,287,3,native PDF available
MS-503,2024,pdf_native,294,0,native PDF available
MT-500,2024,pdf_native,295,1,native PDF available
NC-500,2024,pdf_native,284,1,native PDF available
NC-501,2024,pdf_native,290,1,native PDF available
NC-502,2024,pdf_native,290,1,native PDF available
NC-505,2024,pdf_native,284,2,native PDF available
NC-506,2024,pdf_native,294,1,native PDF available
NC-507,2024,pdf_native,291,1,native PDF available
NC-511,2024,pdf_native,287,1,native PDF available
NC-513,2024,pdf_native,290,2,native PDF available
NC-516,2024,pdf_native,291,0,native PDF available
ND-500,2024,pdf_native,295,1,native PDF available
NE-500,2024,pdf_native,294,3,native PDF available
NE-501,2024,pdf_native,294,0,native PDF available
NE-502,2024,pdf_native,290,3,native PDF available
NH-500,2024,pdf_native,294,3,native PDF available
NH-501,2024,pdf_native,291,4,native PDF available
NH-502,2024,pdf_native,294,3,native PDF available
NJ-500,2024,pdf_native,295,1,native PDF available
NJ-501,2024,pdf_native,294,2,native PDF available
NJ-502,2024,pdf_native,295,2,native PDF available
NJ-503,2024,pdf_native,294,2,native PDF available
NJ-504,2024,pdf_native,292,1,native PDF available
NJ-506,2024,pdf_native,291,2,native PDF available
NJ-507,2024,pdf_native,291,2,native PDF available
NJ-509,2024,pdf_native,291,1,native PDF available
NJ-510,2024,pdf_native,279,166,native PDF available
NJ-511,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
NJ-513,2024,pdf_native,293,5,native PDF available
NJ-514,2024,pdf_native,295,5,native PDF available
NJ-516,2024,pdf_native,295,2,native PDF available
NM-500,2024,pdf_native,295,5,native PDF available
NV-500,2024,pdf_native,288,1,native PDF available
NV-501,2024,pdf_native,290,4,native PDF available
NV-502,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
NY-501,2024,pdf_native,293,2,native PDF available
NY-503,2024,pdf_native,291,3,native PDF available
NY-505,2024,pdf_native,288,0,native PDF available
NY-507,2024,pdf_native,293,1,native PDF available
NY-510,2024,pdf_native,295,1,native PDF available
NY-511,2024,pdf_native,293,2,native PDF available
NY-512,2024,pdf_native,295,3,native PDF available
NY-513,2024,pdf_native,289,7,native PDF available
NY-514,2024,pdf_native,293,2,native PDF available
NY-518,2024,pdf_native,295,2,native PDF available
NY-519,2024,pdf_native,293,2,native PDF available
NY-520,2024,pdf_native,293,1,native PDF available
NY-522,2024,pdf_native,291,2,native PDF available
NY-523,2024,pdf_native,281,17,native PDF available
NY-525,2024,pdf_native,294,1,native PDF available
NY-600,2024,pdf_native,291,3,native PDF available
NY-601,2024,pdf_native,293,4,native PDF available
NY-603,2024,pdf_native,293,1,native PDF available
NY-604,2024,pdf_native,295,2,native PDF available
NY-606,2024,pdf_native,291,4,native PDF available
NY-608,2024,pdf_native,281,19,native PDF available
OH-500,2024,pdf_native,288,3,native PDF available
OH-501,2024,pdf_native,286,3,native PDF available
OH-502,2024,pdf_native,292,2,native PDF available
OH-503,2024,pdf_native,293,0,native PDF available
OH-504,2024,pdf_native,287,4,native PDF available
OH-505,2024,pdf_native,287,2,native PDF available
OH-506,2024,pdf_native,291,0,native PDF available
OH-507,2024,pdf_native,292,1,native PDF available
OH-508,2024,pdf_native,289,1,native PDF available
OK-500,2024,pdf_native,294,3,native PDF available
OK-501,2024,pdf_native,295,1,native PDF available
OK-502,2024,pdf_native,287,0,native PDF available
OK-503,2024,pdf_native,290,1,native PDF available
OK-504,2024,pdf_native,293,13,native PDF available
OK-505,2024,pdf_native,291,40,native PDF available
OK-507,2024,pdf_native,290,3,native PDF available
OR-502,2024,pdf_native,287,0,native PDF available
OR-503,2024,pdf_native,290,23,native PDF available
OR-504,2024,pdf_native,291,0,native PDF available
OR-505,2024,pdf_native,295,5,native PDF available
OR-506,2024,pdf_native,287,2,native PDF available
OR-507,2024,pdf_native,290,0,native PDF available
PA-500,2024,pdf_native,288,1,native PDF available
PA-501,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
PA-502,2024,pdf_native,292,1,native PDF available
PA-504,2024,pdf_native,287,1,native PDF available
PA-505,2024,pdf_native,291,0,native PDF available
PA-506,2024,pdf_native,291,1,native PDF available
PA-509,2024,pdf_native,288,0,native PDF available
PA-510,2024,pdf_native,295,1,native PDF available
PA-511,2024,pdf_native,290,9,native PDF available
PA-512,2024,pdf_native,290,0,native PDF available
PA-600,2024,pdf_native,291,2,native PDF available
PA-601,2024,pdf_native,295,1,native PDF available
PA-603,2024,pdf_native,287,2,native PDF available
PA-605,2024,pdf_native,294,2,native PDF available
PR-502,2024,pdf_native,291,1,native PDF available
PR-503,2024,pdf_native,291,0,native PDF available
RI-500,2024,pdf_native,295,0,native PDF available
SC-500,2024,pdf_native,291,0,native PDF available
SC-501,2024,pdf_native,294,3,native PDF available
SC-503,2024,pdf_native,291,0,native PDF available
SD-500,2024,pdf_native,291,1,native PDF available
TN-500,2024,pdf_native,284,3,native PDF available
TN-501,2024,pdf_native,293,2,native PDF available
TN-502,2024,pdf_native,291,3,native PDF available
TN-503,2024,pdf_native,270,270,native PDF available
TN-504,2024,pdf_native,286,1,native PDF available
TN-506,2024,pdf_native,295,1,native PDF available
TN-509,2024,pdf_native,294,1,native PDF available
TN-512,2024,pdf_native,294,0,native PDF available
TX-500,2024,pdf_native,295,1,native PDF available
TX-503,2024,pdf_native,290,2,native PDF available
TX-600,2024,pdf_native,288,2,native PDF available
TX-603,2024,pdf_native,283,29,native PDF available
TX-604,2024,pdf_native,294,0,native PDF available
TX-607,2024,pdf_native,292,1,native PDF available
TX-624,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
TX-700,2024,pdf_native,292,1,native PDF available
TX-701,2024,pdf_native,294,4,native PDF available
UT-500,2024,pdf_native,293,1,native PDF available
UT-504,2024,pdf_native,294,1,native PDF available
VA-503,2024,pdf_native,289,0,native PDF available
VA-505,2024,pdf_native,294,0,native PDF available
VA-508,2024,pdf_native,291,6,native PDF available
VA-514,2024,pdf_native,291,1,native PDF available
VA-521,2024,pdf_native,294,1,native PDF available
VA-600,2024,pdf_native,294,0,native PDF available
VA-601,2024,pdf_native,295,4,native PDF available
VA-603,2024,pdf_native,284,3,native PDF available
VA-604,2024,pdf_native,294,33,native PDF available
VI-500,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
VT-500,2024,pdf_native,294,1,native PDF available
VT-501,2024,pdf_native,295,4,native PDF available
WA-500,2024,pdf_native,292,1,native PDF available
WA-501,2024,pdf_native,292,0,native PDF available
WA-502,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
WA-503,2024,pdf_native,294,1,native PDF available
WA-504,2024,pdf_native,270,270,native PDF available
WA-508,2024,pdf_native,285,3,native PDF available
WI-500,2024,pdf_native,294,0,native PDF available
WI-501,2024,pdf_native,294,2,native PDF available
WI-503,2024,pdf_native,294,5,native PDF available
WV-500,2024,pdf_native,287,3,native PDF available
WV-501,2024,pdf_native,290,1,native PDF available
WV-503,2024,pdf_native,294,3,native PDF available
WY-500,2024,pdf_native,294,2,native PDF available
