field_id,category,coverage_2022,coverage_2023,coverage_2024
1a_1a,panel_safe,0.970,0.984,0.979
1a_1b,panel_safe,0.970,0.984,0.979
1a_2,panel_safe,0.970,0.984,0.979
1a_3,panel_safe,0.970,0.984,0.979
1a_4,panel_safe,0.970,0.979,0.979
1b_1_1_meetings,panel_safe,0.970,0.979,0.979
1b_1_1_voted,panel_safe,0.970,0.979,0.979
1b_1_1_ces,panel_safe,0.970,0.979,0.979
1b_1_2_meetings,panel_safe,0.970,0.979,0.979
1b_1_2_voted,panel_safe,0.970,0.979,0.979
1b_1_2_ces,panel_safe,0.970,0.979,0.979
1b_1_3_meetings,panel_safe,0.970,0.979,0.979
1b_1_3_voted,panel_safe,0.970,0.979,0.979
1b_1_3_ces,panel_safe,0.970,0.979,0.979
1b_1_4_meetings,panel_safe,0.970,0.979,0.979
1b_1_4_voted,panel_safe,0.970,0.979,0.979
1b_1_4_ces,panel_safe,0.970,0.979,0.979
1b_1_5_meetings,panel_safe,0.970,0.979,0.979
1b_1_5_voted,panel_safe,0.970,0.979,0.979
1b_1_5_ces,panel_safe,0.970,0.979,0.979
1b_1_6_meetings,panel_safe,0.970,0.979,0.979
1b_1_6_voted,panel_safe,0.970,0.979,0.979
1b_1_6_ces,panel_safe,0.970,0.979,0.979
1b_1_7_meetings,panel_safe,0.970,0.984,0.979
1b_1_7_voted,panel_safe,0.970,0.984,0.979
1b_1_7_ces,panel_safe,0.970,0.984,0.979
1b_1_8_meetings,panel_safe,0.970,0.974,0.979
1b_1_8_voted,panel_safe,0.970,0.974,0.979
1b_1_8_ces,panel_safe,0.970,0.974,0.979
1b_1_9_meetings,panel_safe,0.970,0.979,0.979
1b_1_9_voted,panel_safe,0.970,0.979,0.979
1b_1_9_ces,panel_safe,0.970,0.979,0.979
1b_1_10_meetings,panel_safe,0.861,0.979,0.979
1b_1_10_voted,panel_safe,0.861,0.979,0.979
1b_1_10_ces,panel_safe,0.861,0.979,0.979
1b_1_11_meetings,panel_safe,0.970,0.979,0.979
1b_1_11_voted,panel_safe,0.970,0.979,0.979
1b_1_11_ces,panel_safe,0.970,0.979,0.979
1b_1_12_meetings,panel_safe,0.970,0.979,0.979
1b_1_12_voted,panel_safe,0.970,0.979,0.979
1b_1_12_ces,panel_safe,0.970,0.979,0.979
1b_1_13_meetings,panel_safe,0.970,0.979,0.979
1b_1_13_voted,panel_safe,0.970,0.979,0.979
1b_1_13_ces,panel_safe,0.970,0.979,0.979
1b_1_14_meetings,panel_safe,0.970,0.979,0.979
1b_1_14_voted,panel_safe,0.970,0.979,0.979
1b_1_14_ces,panel_safe,0.970,0.979,0.979
1b_1_15_meetings,panel_safe,0.970,0.979,0.979
1b_1_15_voted,panel_safe,0.970,0.979,0.979
1b_1_15_ces,panel_safe,0.970,0.979,0.979
1b_1_16_meetings,panel_safe,0.970,0.979,0.979
1b_1_16_voted,panel_safe,0.970,0.979,0.979
1b_1_16_ces,panel_safe,0.970,0.979,0.979
1b_1_17_meetings,panel_safe,0.970,0.979,0.976
1b_1_17_voted,panel_safe,0.970,0.979,0.976
1b_1_17_ces,panel_safe,0.970,0.979,0.976
1b_1_18_meetings,panel_safe,0.970,0.979,0.976
1b_1_18_voted,panel_safe,0.970,0.979,0.976
1b_1_18_ces,panel_safe,0.970,0.979,0.976
1b_1_19_meetings,panel_safe,0.970,0.979,0.976
1b_1_19_voted,panel_safe,0.970,0.979,0.976
1b_1_19_ces,panel_safe,0.970,0.979,0.976
1b_1_20_meetings,panel_safe,0.970,0.979,0.976
1b_1_20_voted,panel_safe,0.970,0.979,0.976
1b_1_20_ces,panel_safe,0.970,0.979,0.976
1b_1_21_meetings,panel_safe,0.964,0.979,0.976
1b_1_21_voted,panel_safe,0.964,0.979,0.976
1b_1_21_ces,panel_safe,0.964,0.979,0.976
1b_1_22_meetings,panel_safe,0.970,0.979,0.976
1b_1_22_voted,panel_safe,0.970,0.979,0.976
1b_1_22_ces,panel_safe,0.970,0.979,0.976
1b_1_23_meetings,panel_safe,0.970,0.979,0.976
1b_1_23_voted,panel_safe,0.970,0.979,0.976
1b_1_23_ces,panel_safe,0.970,0.979,0.976
1b_1_24_meetings,panel_safe,0.970,0.979,0.976
1b_1_24_voted,panel_safe,0.970,0.979,0.976
1b_1_24_ces,panel_safe,0.970,0.979,0.976
1b_1_25_meetings,panel_safe,0.970,0.979,0.976
1b_1_25_voted,panel_safe,0.970,0.979,0.976
1b_1_25_ces,panel_safe,0.970,0.979,0.976
1b_1_26_meetings,panel_safe,0.861,0.979,0.976
1b_1_26_voted,panel_safe,0.861,0.979,0.976
1b_1_26_ces,panel_safe,0.861,0.979,0.976
1b_1_27_meetings,panel_safe,0.970,0.979,0.976
1b_1_27_voted,panel_safe,0.970,0.979,0.976
1b_1_27_ces,panel_safe,0.970,0.979,0.976
1b_1_28_meetings,panel_safe,0.861,0.979,0.976
1b_1_28_voted,panel_safe,0.861,0.979,0.976
1b_1_28_ces,panel_safe,0.861,0.979,0.976
1b_1_29_meetings,panel_safe,0.861,0.979,0.976
1b_1_29_voted,panel_safe,0.861,0.979,0.976
1b_1_29_ces,panel_safe,0.861,0.979,0.976
1b_1_30_meetings,panel_safe,0.861,0.979,0.976
1b_1_30_voted,panel_safe,0.861,0.979,0.976
1b_1_30_ces,panel_safe,0.861,0.979,0.976
1b_1_31_meetings,panel_safe,0.970,0.979,0.973
1b_1_31_voted,panel_safe,0.970,0.979,0.973
1b_1_31_ces,panel_safe,0.970,0.979,0.973
1b_1_32_meetings,panel_safe,0.861,0.979,0.976
1b_1_32_voted,panel_safe,0.861,0.979,0.976
1b_1_32_ces,panel_safe,0.861,0.979,0.976
1b_1_33_meetings,panel_safe,0.970,0.979,0.976
1b_1_33_voted,panel_safe,0.970,0.979,0.976
1b_1_33_ces,panel_safe,0.970,0.979,0.976
1b_1a,sparse,0.000,0.000,0.000
1b_2,sparse,0.000,0.000,0.000
1b_3,sparse,0.000,0.000,0.000
1b_4,sparse,0.000,0.000,0.000
1c_1_1,panel_safe,0.861,0.984,0.976
1c_1_2,panel_safe,0.861,0.984,0.976
1c_1_3,panel_safe,0.861,0.984,0.976
1c_1_4,panel_safe,0.861,0.984,0.976
1c_1_5,panel_safe,0.861,0.984,0.976
1c_1_6,panel_safe,0.861,0.984,0.976
1c_1_7,panel_safe,0.861,0.984,0.976
1c_1_8,panel_safe,0.861,0.984,0.976
1c_1_9,panel_safe,0.861,0.984,0.976
1c_1_10,panel_safe,0.861,0.979,0.976
1c_1_11,panel_safe,0.861,0.974,0.973
1c_1_12,panel_safe,0.861,0.979,0.976
1c_1_13,panel_safe,0.861,0.979,0.976
1c_1_14,panel_safe,0.861,0.979,0.976
1c_1_15,panel_safe,0.861,0.979,0.976
1c_1_16,panel_safe,0.861,0.979,0.976
1c_1_17,panel_safe,0.861,0.979,0.976
1c_2_1,year_specific,0.000,0.010,0.979
1c_2_2,year_specific,0.000,0.010,0.979
1c_2_3,year_specific,0.000,0.010,0.976
1c_2_4,year_specific,0.000,0.010,0.976
1c_3_1,panel_safe,0.861,0.974,0.979
1c_3_2,panel_safe,0.861,0.974,0.979
1c_3_3,panel_safe,0.861,0.969,0.976
1c_3_4,panel_safe,0.855,0.969,0.976
1c_3_5,panel_safe,0.855,0.969,0.976
1c_4_1,panel_safe,0.861,0.979,0.983
1c_4_2,panel_safe,0.861,0.979,0.983
1c_4_3,panel_safe,0.861,0.979,0.983
1c_4_4,panel_safe,0.861,0.979,0.983
1c_4a,sparse,0.000,0.000,0.000
1c_4b,sparse,0.000,0.000,0.000
1c_4c_1_mou,panel_safe,0.849,0.984,0.976
1c_4c_1_oth,panel_safe,0.849,0.984,0.976
1c_4c_2_mou,panel_safe,0.849,0.984,0.976
1c_4c_2_oth,panel_safe,0.849,0.984,0.976
1c_4c_3_mou,panel_safe,0.849,0.984,0.976
1c_4c_3_oth,panel_safe,0.849,0.984,0.976
1c_4c_4_mou,panel_safe,0.849,0.984,0.976
1c_4c_4_oth,panel_safe,0.849,0.984,0.976
1c_4c_5_mou,panel_safe,0.849,0.974,0.973
1c_4c_5_oth,panel_safe,0.849,0.974,0.973
1c_4c_6_mou,panel_safe,0.849,0.984,0.976
1c_4c_6_oth,panel_safe,0.849,0.984,0.976
1c_4c_7_mou,panel_safe,0.849,0.984,0.976
1c_4c_7_oth,panel_safe,0.849,0.984,0.976
1c_4c_8_mou,panel_safe,0.849,0.984,0.976
1c_4c_8_oth,panel_safe,0.849,0.984,0.976
1c_4c_9_mou,panel_safe,0.849,0.984,0.976
1c_4c_9_oth,panel_safe,0.849,0.984,0.976
1c_5_1,mostly_panel,0.000,0.979,0.983
1c_5_2,mostly_panel,0.000,0.979,0.983
1c_5_3,mostly_panel,0.000,0.979,0.983
1c_5a,sparse,0.000,0.000,0.000
1c_5b,sparse,0.000,0.000,0.000
1c_5c_1_proj,year_specific,0.000,0.000,0.983
1c_5c_1_ces,year_specific,0.000,0.000,0.983
1c_5c_2_proj,year_specific,0.000,0.000,0.983
1c_5c_2_ces,year_specific,0.000,0.000,0.983
1c_5c_3_proj,year_specific,0.000,0.000,0.983
1c_5c_3_ces,year_specific,0.000,0.000,0.983
1c_5c_4_proj,year_specific,0.000,0.000,0.983
1c_5c_4_ces,year_specific,0.000,0.000,0.983
1c_5c_5_proj,year_specific,0.000,0.000,0.983
1c_5c_5_ces,year_specific,0.000,0.000,0.983
1c_5c_6_proj,year_specific,0.000,0.000,0.983
1c_5c_6_ces,year_specific,0.000,0.000,0.983
1c_5d,sparse,0.000,0.000,0.000
1c_5e,sparse,0.000,0.000,0.000
1c_5f,sparse,0.000,0.000,0.000
1c_6a,sparse,0.000,0.000,0.000
1c_7_pha_name_1,panel_safe,0.825,0.917,0.897
1c_7_ph_hhm_1,panel_safe,0.825,0.917,0.897
1c_7_ph_limit_hhm_1,panel_safe,0.825,0.917,0.897
1c_7_psh_1,panel_safe,0.825,0.917,0.897
1c_7_pha_name_2,panel_safe,0.560,0.674,0.664
1c_7_ph_hhm_2,panel_safe,0.560,0.674,0.664
1c_7_ph_limit_hhm_2,panel_safe,0.560,0.674,0.664
1c_7_psh_2,panel_safe,0.560,0.674,0.664
1c_7a,sparse,0.000,0.000,0.000
1c_7b_1,panel_safe,0.855,0.984,0.983
1c_7b_2,panel_safe,0.855,0.984,0.983
1c_7b_3,panel_safe,0.855,0.984,0.979
1c_7b_4,panel_safe,0.855,0.979,0.979
1c_7c_1,panel_safe,0.849,0.984,0.976
1c_7c_2,panel_safe,0.855,0.984,0.979
1c_7c_3,panel_safe,0.855,0.984,0.979
1c_7c_4,panel_safe,0.855,0.984,0.979
1c_7c_5,panel_safe,0.855,0.984,0.979
1c_7c_6,panel_safe,0.855,0.979,0.979
1c_7c_7,panel_safe,0.855,0.979,0.979
1c_7d_1,panel_safe,0.855,0.984,0.983
1c_7d_2,sparse,0.313,0.352,0.356
1c_7e,panel_safe,0.861,0.984,0.740
1d_1_1,panel_safe,0.855,0.974,0.983
1d_1_2,panel_safe,0.855,0.974,0.983
1d_1_3,panel_safe,0.855,0.974,0.983
1d_1_4,panel_safe,0.855,0.974,0.979
1d_2_1,panel_safe,0.855,0.969,0.973
1d_2_2,panel_safe,0.855,0.969,0.973
1d_2_3,panel_safe,0.861,0.969,0.979
1d_2a,sparse,0.000,0.000,0.000
1d_3,sparse,0.000,0.000,0.000
1d_4_1_policymakers,panel_safe,0.849,0.964,0.973
1d_4_1_prevent_crim,panel_safe,0.849,0.964,0.973
1d_4_2_policymakers,panel_safe,0.849,0.964,0.973
1d_4_2_prevent_crim,panel_safe,0.849,0.964,0.973
1d_4_3_policymakers,panel_safe,0.849,0.964,0.969
1d_4_3_prevent_crim,panel_safe,0.849,0.964,0.969
1d_5_hmis,panel_safe,0.699,0.756,0.788
1d_5_2023,panel_safe,0.699,0.756,0.788
1d_5_2024,panel_safe,0.699,0.756,0.788
1d_6_1,panel_safe,0.855,0.979,0.983
1d_6_2,panel_safe,0.855,0.979,0.983
1d_6_3,panel_safe,0.855,0.979,0.983
1d_6_4,panel_safe,0.855,0.979,0.983
1d_6_5,panel_safe,0.855,0.979,0.983
1d_6_6,mostly_panel,0.000,0.979,0.983
1d_6a,sparse,0.000,0.000,0.000
1d_7,sparse,0.000,0.000,0.000
1d_7a,sparse,0.000,0.000,0.000
1d_8,sparse,0.000,0.000,0.000
1d_8a,sparse,0.000,0.000,0.000
1d_8b,sparse,0.000,0.000,0.000
1d_9_1,year_specific,0.012,0.000,0.962
1d_9_2,panel_safe,0.759,0.886,0.952
1d_9a,sparse,0.000,0.000,0.000
1d_9b_1,mostly_panel,0.000,0.979,0.979
1d_9b_2,mostly_panel,0.000,0.979,0.983
1d_9b_3,mostly_panel,0.000,0.974,0.979
1d_9b_4,mostly_panel,0.000,0.974,0.979
1d_9b_5,mostly_panel,0.000,0.974,0.979
1d_9b_6,mostly_panel,0.000,0.974,0.979
1d_9b_7,mostly_panel,0.000,0.969,0.976
1d_9b_8,mostly_panel,0.000,0.969,0.976
1d_9b_9,mostly_panel,0.000,0.974,0.976
1d_9b_10,mostly_panel,0.000,0.969,0.976
1d_9b_11,mostly_panel,0.000,0.969,0.976
1d_9c,sparse,0.000,0.000,0.000
1d_9d,sparse,0.000,0.000,0.000
1d_10,sparse,0.000,0.000,0.000
1d_10a_1_years,panel_safe,0.855,0.974,0.962
1d_10a_1_unsheltered,panel_safe,0.855,0.974,0.962
1d_10a_2_years,panel_safe,0.855,0.974,0.966
1d_10a_2_unsheltered,panel_safe,0.855,0.974,0.966
1d_10a_3_years,panel_safe,0.855,0.974,0.966
1d_10a_3_unsheltered,panel_safe,0.855,0.974,0.966
1d_10a_4_years,mostly_panel,0.000,0.974,0.966
1d_10a_4_unsheltered,mostly_panel,0.000,0.974,0.966
1d_10b,sparse,0.000,0.000,0.000
1d_10c,sparse,0.000,0.000,0.000
1d_11,sparse,0.000,0.000,0.000
1e_1_1,panel_safe,0.849,0.974,0.969
1e_1_2,mostly_panel,0.000,0.974,0.966
1e_2_1,panel_safe,0.855,0.979,0.979
1e_2_2,panel_safe,0.855,0.974,0.976
1e_2_3,panel_safe,0.849,0.974,0.976
1e_2_4,panel_safe,0.849,0.974,0.976
1e_2_5,panel_safe,0.849,0.974,0.976
1e_2_6,mostly_panel,0.000,0.974,0.973
1e_2a_1,panel_safe,0.849,0.969,0.973
1e_2a_2,panel_safe,0.849,0.974,0.976
1e_2a_3,panel_safe,0.843,0.974,0.976
1e_2b,sparse,0.000,0.000,0.000
1e_3,sparse,0.000,0.000,0.000
1e_4,sparse,0.000,0.000,0.000
1e_4a,panel_safe,0.807,0.938,0.945
1e_5_1,panel_safe,0.699,0.824,0.801
1e_5_2,panel_safe,0.596,0.819,0.805
1e_5_3,mostly_panel,0.000,0.699,0.695
1e_5_4,sparse,0.337,0.399,0.336
1e_5a,panel_safe,0.861,0.979,0.979
1e_5b,panel_safe,0.855,0.984,0.979
1e_5c,panel_safe,0.795,0.984,0.853
1e_5d,panel_safe,0.861,0.984,0.979
2a_1,panel_safe,0.831,0.959,0.952
2a_2,panel_safe,0.861,0.984,0.973
2a_3,panel_safe,0.970,0.979,0.966
2a_4,sparse,0.000,0.000,0.000
2a_5_1_non_vsp,panel_safe,0.861,0.974,0.955
2a_5_1_vsp,panel_safe,0.861,0.974,0.955
2a_5_1_hmis,panel_safe,0.861,0.974,0.955
2a_5_1_coverage,panel_safe,0.861,0.974,0.955
2a_5_2_non_vsp,year_specific,0.253,0.223,0.935
2a_5_2_vsp,year_specific,0.253,0.223,0.935
2a_5_2_hmis,year_specific,0.253,0.223,0.935
2a_5_2_coverage,year_specific,0.253,0.223,0.935
2a_5_3_non_vsp,panel_safe,0.819,0.927,0.955
2a_5_3_vsp,panel_safe,0.819,0.927,0.955
2a_5_3_hmis,panel_safe,0.819,0.927,0.955
2a_5_3_coverage,panel_safe,0.819,0.927,0.955
2a_5_4_non_vsp,panel_safe,0.831,0.943,0.955
2a_5_4_vsp,panel_safe,0.831,0.943,0.955
2a_5_4_hmis,panel_safe,0.831,0.943,0.955
2a_5_4_coverage,panel_safe,0.831,0.943,0.955
2a_5_5_non_vsp,panel_safe,0.849,0.953,0.955
2a_5_5_vsp,panel_safe,0.849,0.953,0.955
2a_5_5_hmis,panel_safe,0.849,0.953,0.955
2a_5_5_coverage,panel_safe,0.849,0.953,0.955
2a_5_6_non_vsp,panel_safe,0.620,0.715,0.945
2a_5_6_vsp,panel_safe,0.620,0.715,0.945
2a_5_6_hmis,panel_safe,0.620,0.715,0.945
2a_5_6_coverage,panel_safe,0.620,0.715,0.945
2a_5a,sparse,0.000,0.000,0.000
2a_6,panel_safe,0.795,0.974,0.969
2b_1,panel_safe,0.970,0.974,0.973
2b_2,panel_safe,0.970,0.974,0.976
2b_3,sparse,0.000,0.000,0.000
2b_4,sparse,0.000,0.000,0.000
2c_1,sparse,0.000,0.000,0.000
2c_1a_1,mostly_panel,0.000,0.979,0.973
2c_1a_2,mostly_panel,0.000,0.979,0.973
2c_2,sparse,0.000,0.000,0.000
2c_3,sparse,0.000,0.000,0.000
2c_4,sparse,0.000,0.000,0.000
2c_5,sparse,0.000,0.000,0.000
2c_5a,sparse,0.000,0.000,0.000
3a_1,panel_safe,0.958,0.979,0.976
3a_2,panel_safe,0.855,0.979,0.973
3c_1,panel_safe,0.855,0.979,0.986
4a_1,panel_safe,0.855,0.979,0.979
4a_1a_1,mostly_panel,0.452,0.580,0.644
4a_1a_2,mostly_panel,0.452,0.580,0.647
